step_number	time	timestep	I_lya	inc_photon_flux	nH_boundary	H1_IF_x	H1_IF_v	HI_IF_v_flxMthd	He1_IF_x	He1_IF_v	He3_IF_x	He3_IF_v	width_IF
23463 	8.475460e+01 	2.708221e-02 	1.582417e-08 	2.754008e+04 	1.188974e-03 	3.110055e+25 	2.975484e+07 	2.143180e+07 	3.110330e+25 	3.272194e+07 	0.000000e+00 	0.000000e+00 	4.822050e+21 	
23475 	8.517386e+01 	4.832889e-02 	1.582363e-08 	2.857438e+04 	1.239866e-03 	3.110106e+25 	4.038931e+07 	2.132403e+07 	3.110367e+25 	2.950567e+07 	0.000000e+00 	0.000000e+00 	5.122941e+21 	
23483 	8.558133e+01 	5.470996e-02 	1.538095e-08 	2.850524e+04 	1.277088e-03 	3.110143e+25 	2.972323e+07 	2.065290e+07 	3.110398e+25 	2.463044e+07 	0.000000e+00 	0.000000e+00 	5.284844e+21 	
23536 	8.594733e+01 	6.234735e-03 	1.507949e-08 	2.794231e+04 	1.300518e-03 	3.110167e+25 	1.871072e+07 	1.988080e+07 	3.110421e+25 	1.775559e+07 	0.000000e+00 	0.000000e+00 	5.305560e+21 	
23595 	8.635195e+01 	7.648023e-03 	1.475139e-08 	2.633774e+04 	1.326059e-03 	3.110193e+25 	2.039536e+07 	1.837916e+07 	3.110448e+25 	2.176712e+07 	0.000000e+00 	0.000000e+00 	5.138749e+21 	
23641 	8.675123e+01 	1.016228e-02 	1.486870e-08 	2.398130e+04 	1.349022e-03 	3.110216e+25 	1.833747e+07 	1.645097e+07 	3.110475e+25 	2.127352e+07 	0.000000e+00 	0.000000e+00 	4.596832e+21 	
23674 	8.715241e+01 	1.522087e-02 	1.548654e-08 	2.477789e+04 	1.372878e-03 	3.110240e+25 	1.905016e+07 	1.670192e+07 	3.110504e+25 	2.222051e+07 	0.000000e+00 	0.000000e+00 	4.319939e+21 	
23695 	8.755087e+01 	2.498309e-02 	1.615047e-08 	2.671563e+04 	1.401057e-03 	3.110269e+25 	2.250205e+07 	1.764535e+07 	3.110541e+25 	2.928526e+07 	0.000000e+00 	0.000000e+00 	4.590016e+21 	
23696 	8.757585e+01 	2.581444e-02 	1.618078e-08 	2.681792e+04 	1.403079e-03 	3.110271e+25 	1.614952e+06 	1.768735e+07 	3.110543e+25 	1.942633e+06 	0.000000e+00 	0.000000e+00 	4.614902e+21 	
23708 	8.796288e+01 	4.285255e-02 	1.638785e-08 	2.793542e+04 	1.426281e-03 	3.110310e+25 	3.121188e+07 	1.812440e+07 	3.110579e+25 	2.857649e+07 	0.000000e+00 	0.000000e+00 	4.955352e+21 	
23716 	8.838426e+01 	6.440536e-02 	1.610530e-08 	2.810937e+04 	1.435754e-03 	3.110351e+25 	3.169555e+07 	1.811694e+07 	3.110615e+25 	2.799538e+07 	0.000000e+00 	0.000000e+00 	5.215249e+21 	
23763 	8.875540e+01 	6.690940e-03 	1.591590e-08 	2.782666e+04 	1.441220e-03 	3.110374e+25 	1.828819e+07 	1.786685e+07 	3.110638e+25 	1.857500e+07 	0.000000e+00 	0.000000e+00 	5.320689e+21 	
23818 	8.915888e+01 	8.103125e-03 	1.562006e-08 	2.670548e+04 	1.447169e-03 	3.110399e+25 	1.990125e+07 	1.707694e+07 	3.110667e+25 	2.297672e+07 	0.000000e+00 	0.000000e+00 	5.339847e+21 	
23863 	8.956766e+01 	1.045135e-02 	1.552862e-08 	2.495522e+04 	1.452394e-03 	3.110421e+25 	1.748181e+07 	1.590095e+07 	3.110696e+25 	2.285174e+07 	0.000000e+00 	0.000000e+00 	5.169417e+21 	
23896 	8.997044e+01 	1.479217e-02 	1.576812e-08 	2.249894e+04 	1.457255e-03 	3.110442e+25 	1.626515e+07 	1.428880e+07 	3.110726e+25 	2.307265e+07 	0.000000e+00 	0.000000e+00 	4.673720e+21 	
23918 	9.036336e+01 	2.254348e-02 	1.611795e-08 	2.301348e+04 	1.462230e-03 	3.110463e+25 	1.664535e+07 	1.456571e+07 	3.110764e+25 	3.030344e+07 	0.000000e+00 	0.000000e+00 	4.524850e+21 	
23953 	9.076746e+01 	5.305447e-03 	1.637129e-08 	2.506940e+04 	1.467789e-03 	3.110486e+25 	1.859766e+07 	1.580620e+07 	3.110806e+25 	3.313327e+07 	0.000000e+00 	0.000000e+00 	4.920801e+21 	
24014 	9.116647e+01 	7.221445e-03 	1.649500e-08 	2.662083e+04 	1.469008e-03 	3.110519e+25 	2.582373e+07 	1.676991e+07 	3.110846e+25 	3.181976e+07 	0.000000e+00 	0.000000e+00 	5.259186e+21 	
24066 	9.157370e+01 	8.615607e-03 	1.645549e-08 	2.732495e+04 	1.431721e-03 	3.110561e+25 	3.297158e+07 	1.766125e+07 	3.110885e+25 	3.039738e+07 	0.000000e+00 	0.000000e+00 	5.521020e+21 	
24108 	9.197656e+01 	1.092514e-02 	1.639231e-08 	2.716294e+04 	1.402105e-03 	3.110594e+25 	2.618761e+07 	1.792721e+07 	3.110922e+25 	2.901986e+07 	0.000000e+00 	0.000000e+00 	5.689652e+21 	
24167 	9.236986e+01 	5.881476e-03 	1.639608e-08 	2.641267e+04 	1.378598e-03 	3.110620e+25 	2.078626e+07 	1.772940e+07 	3.110957e+25 	2.775216e+07 	0.000000e+00 	0.000000e+00 	5.753700e+21 	
24227 	9.277543e+01 	7.308372e-03 	1.639795e-08 	2.507736e+04 	1.357087e-03 	3.110644e+25 	1.902074e+07 	1.710025e+07 	3.111012e+25 	4.355995e+07 	0.000000e+00 	0.000000e+00 	5.693543e+21 	
24278 	9.317288e+01 	8.383649e-03 	1.630650e-08 	2.320807e+04 	1.337383e-03 	3.110666e+25 	1.742392e+07 	1.605931e+07 	3.111069e+25 	4.535850e+07 	0.000000e+00 	0.000000e+00 	5.897912e+21 	
24353 	9.357533e+01 	6.395087e-03 	1.616579e-08 	2.128760e+04 	1.317043e-03 	3.110689e+25 	1.798573e+07 	1.495844e+07 	3.111124e+25 	4.346984e+07 	0.000000e+00 	0.000000e+00 	5.753034e+21 	
24411 	9.397627e+01 	7.362989e-03 	1.610177e-08 	2.312700e+04 	1.293750e-03 	3.110715e+25 	2.059674e+07 	1.654267e+07 	3.111178e+25 	4.265585e+07 	0.000000e+00 	0.000000e+00 	6.061412e+21 	
24487 	9.438233e+01 	5.428029e-03 	1.616040e-08 	2.483796e+04 	1.252039e-03 	3.110752e+25 	2.886102e+07 	1.835728e+07 	3.111254e+25 	5.955051e+07 	0.000000e+00 	0.000000e+00 	6.319422e+21 	
24548 	9.478208e+01 	7.113099e-03 	1.624070e-08 	2.589872e+04 	1.174815e-03 	3.110798e+25 	3.637333e+07 	2.039809e+07 	3.111333e+25 	6.280328e+07 	0.000000e+00 	0.000000e+00 	6.842736e+21 	
24626 	9.518554e+01 	5.572314e-03 	1.623551e-08 	2.613469e+04 	1.110065e-03 	3.110837e+25 	3.049795e+07 	2.178360e+07 	3.111410e+25 	6.058158e+07 	0.000000e+00 	0.000000e+00 	7.453313e+21 	
24687 	9.558777e+01 	7.121916e-03 	1.611368e-08 	2.559501e+04 	1.053826e-03 	3.110870e+25 	2.648892e+07 	2.247175e+07 	3.111510e+25 	7.906989e+07 	0.000000e+00 	0.000000e+00 	7.878381e+21 	
24768 	9.598501e+01 	6.387791e-03 	1.591521e-08 	2.445800e+04 	1.002635e-03 	3.110901e+25 	2.411165e+07 	2.256979e+07 	3.111607e+25 	7.646755e+07 	0.000000e+00 	0.000000e+00 	8.314782e+21 	
24827 	9.638933e+01 	7.262749e-03 	1.568962e-08 	2.270001e+04 	9.490858e-04 	3.110933e+25 	2.522196e+07 	2.212973e+07 	3.111718e+25 	8.778224e+07 	0.000000e+00 	0.000000e+00 	8.720216e+21 	
24912 	9.679288e+01 	6.736005e-03 	1.549520e-08 	2.195670e+04 	8.857820e-04 	3.110971e+25 	3.013742e+07 	2.293422e+07 	3.111834e+25 	9.112267e+07 	0.000000e+00 	0.000000e+00 	8.887549e+21 	
24994 	9.719198e+01 	5.872558e-03 	1.535765e-08 	2.350245e+04 	7.946849e-04 	3.111032e+25 	4.859982e+07 	2.735886e+07 	3.111960e+25 	9.938797e+07 	0.000000e+00 	0.000000e+00 	9.812065e+21 	
25055 	9.759142e+01 	6.980414e-03 	1.525076e-08 	2.462837e+04 	7.134045e-04 	3.111087e+25 	4.336261e+07 	3.193105e+07 	3.112089e+25 	1.021525e+08 	0.000000e+00 	0.000000e+00 	1.059886e+22 	
25141 	9.799816e+01 	6.479461e-03 	1.511828e-08 	2.498087e+04 	6.365083e-04 	3.111139e+25 	4.102367e+07 	3.629557e+07 	3.112236e+25 	1.159332e+08 	0.000000e+00 	0.000000e+00 	1.160149e+22 	
25218 	9.839689e+01 	3.563110e-03 	1.494337e-08 	2.447894e+04 	5.593409e-04 	3.111191e+25 	4.116839e+07 	4.046744e+07 	3.112380e+25 	1.135483e+08 	0.000000e+00 	0.000000e+00 	1.232376e+22 	
25287 	9.880045e+01 	6.654864e-03 	1.473211e-08 	2.318996e+04 	4.878951e-04 	3.111278e+25 	6.802371e+07 	4.394533e+07 	3.112530e+25 	1.185507e+08 	0.000000e+00 	0.000000e+00 	1.305494e+22 	
25369 	9.919729e+01 	5.499242e-03 	1.453152e-08 	2.372178e+04 	4.253035e-04 	3.111355e+25 	6.130939e+07 	5.155574e+07 	3.112676e+25 	1.154953e+08 	0.000000e+00 	0.000000e+00 	1.386825e+22 	
25434 	9.960466e+01 	6.712467e-03 	1.435964e-08 	2.459780e+04 	3.654808e-04 	3.111444e+25 	7.005199e+07 	6.218794e+07 	3.112823e+25 	1.159951e+08 	0.000000e+00 	0.000000e+00 	1.488820e+22 	
