step_number	time	timestep	I_lya	inc_photon_flux	nH_boundary	H1_IF_x	H1_IF_v	HI_IF_v_flxMthd	He1_IF_x	He1_IF_v	He3_IF_x	He3_IF_v	width_IF
9322 	2.008324e+01 	3.652899e-03 	1.228523e-08 	3.689380e+04 	2.624325e-04 	3.092293e+25 	1.595213e+08 	1.296076e+08 	3.093169e+25 	1.570389e+08 	0.000000e+00 	0.000000e+00 	1.264218e+22 	
9454 	2.048408e+01 	3.656273e-03 	1.234481e-08 	3.673383e+04 	2.706386e-04 	3.092484e+25 	1.512917e+08 	1.251515e+08 	3.093372e+25 	1.598912e+08 	0.000000e+00 	0.000000e+00 	1.258149e+22 	
9586 	2.088455e+01 	3.690245e-03 	1.237067e-08 	3.649670e+04 	2.748816e-04 	3.092669e+25 	1.454851e+08 	1.224354e+08 	3.093582e+25 	1.659381e+08 	0.000000e+00 	0.000000e+00 	1.259745e+22 	
9719 	2.128864e+01 	3.762424e-03 	1.236054e-08 	3.618325e+04 	2.745044e-04 	3.092856e+25 	1.478153e+08 	1.215542e+08 	3.093805e+25 	1.757556e+08 	0.000000e+00 	0.000000e+00 	1.272297e+22 	
9851 	2.169029e+01 	3.839024e-03 	1.231546e-08 	3.623176e+04 	2.696869e-04 	3.093048e+25 	1.519817e+08 	1.238818e+08 	3.094037e+25 	1.833779e+08 	0.000000e+00 	0.000000e+00 	1.325156e+22 	
9982 	2.208953e+01 	3.923158e-03 	1.224428e-08 	3.629906e+04 	2.617243e-04 	3.093244e+25 	1.539889e+08 	1.278708e+08 	3.094278e+25 	1.904286e+08 	0.000000e+00 	0.000000e+00 	1.378255e+22 	
10133 	2.249050e+01 	2.273528e-03 	1.215635e-08 	3.633734e+04 	2.512488e-04 	3.093443e+25 	1.577965e+08 	1.333183e+08 	3.094528e+25 	1.972316e+08 	0.000000e+00 	0.000000e+00 	1.428285e+22 	
10270 	2.289424e+01 	3.315036e-03 	1.205666e-08 	3.630194e+04 	2.389583e-04 	3.093655e+25 	1.667433e+08 	1.400074e+08 	3.094787e+25 	2.044197e+08 	0.000000e+00 	0.000000e+00 	1.477016e+22 	
10403 	2.329653e+01 	3.554004e-03 	1.195359e-08 	3.628245e+04 	2.263405e-04 	3.093876e+25 	1.744750e+08 	1.476950e+08 	3.095048e+25 	2.058189e+08 	0.000000e+00 	0.000000e+00 	1.521271e+22 	
10535 	2.369717e+01 	3.665746e-03 	1.185972e-08 	3.633172e+04 	2.146266e-04 	3.094107e+25 	1.825894e+08 	1.559244e+08 	3.095307e+25 	2.051708e+08 	0.000000e+00 	0.000000e+00 	1.562591e+22 	
10667 	2.409947e+01 	3.730590e-03 	1.178450e-08 	3.639662e+04 	2.049485e-04 	3.094350e+25 	1.922755e+08 	1.635374e+08 	3.095566e+25 	2.038089e+08 	0.000000e+00 	0.000000e+00 	1.603668e+22 	
10798 	2.449895e+01 	3.776157e-03 	1.173330e-08 	3.650213e+04 	1.981397e-04 	3.094601e+25 	1.980889e+08 	1.696129e+08 	3.095817e+25 	1.988605e+08 	0.000000e+00 	0.000000e+00 	1.630110e+22 	
