Gas Data
Time: 0.000000e+00
radius	rho	ne	ne_prev	dne_dt	n_tot	dt	T	vel	nH1	fH1	fHeI	fHII	fHeII	fHeIII	j_lya
5353.855	9.468173055665036e-29	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.302114597503458e-05	1.0	1.0	0.0	0.0	0.0	0.0
5354.592	9.542983511446611e-29	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.33610670474227e-05	1.0	1.0	0.0	0.0	0.0	0.0
5355.329	9.650387494969641e-29	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.3849085425020884e-05	1.0	1.0	0.0	0.0	0.0	0.0
5356.066	9.788456023606217e-29	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.4476436265580186e-05	1.0	1.0	0.0	0.0	0.0	0.0
5356.803	9.955130252749463e-29	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.5233764664637875e-05	1.0	1.0	0.0	0.0	0.0	0.0
5357.541	1.0148503548754365e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.611240732845388e-05	1.0	1.0	0.0	0.0	0.0	0.0
5358.278	1.0365691343363282e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.709925745898413e-05	1.0	1.0	0.0	0.0	0.0	0.0
5359.015	1.0604310161696248e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.8183485108345756e-05	1.0	1.0	0.0	0.0	0.0	0.0
5359.752	1.086135492493583e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.935143590692476e-05	1.0	1.0	0.0	0.0	0.0	0.0
5360.489	1.1133390976512966e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.058750358508889e-05	1.0	1.0	0.0	0.0	0.0	0.0
5361.226	1.1416603088732972e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.187435264774145e-05	1.0	1.0	0.0	0.0	0.0	0.0
5361.963	1.1706948627639574e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.319361431935056e-05	1.0	1.0	0.0	0.0	0.0	0.0
5362.7	1.2000364639346142e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.452682749541181e-05	1.0	1.0	0.0	0.0	0.0	0.0
