Gas Data
Time: 0.000000e+00
radius	rho	P	T	vel	nH1	fH1	fHeI	fHII	fHeII	fHeIII	q_eff_lya
10025.8	1.8838205349752946e-28	2.363572384467461e-16	100.0	0.0	8.559636346892627e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10026.54	1.8684264067970736e-28	2.344257839600016e-16	100.0	0.0	8.489689058052424e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10027.27	1.8537756169316728e-28	2.3258759387269843e-16	100.0	0.0	8.423119323242618e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10028.01	1.8473022203922869e-28	2.317753964786191e-16	100.0	0.0	8.39370573565419e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10028.75	1.8568892637462447e-28	2.3297825367756162e-16	100.0	0.0	8.437267000237628e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10029.48	1.8856607841319207e-28	2.3658812891674504e-16	100.0	0.0	8.567998005169487e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10030.22	1.9309809721285508e-28	2.422743151971762e-16	100.0	0.0	8.773922253908527e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10030.96	1.986002677190102e-28	2.4917772134523055e-16	100.0	0.0	9.023927908783202e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10031.7	2.0409212104340447e-28	2.5606818283882204e-16	100.0	0.0	9.273464775244342e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10032.43	2.086228014249201e-28	2.6175268984667204e-16	100.0	0.0	9.479328209418464e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10033.17	2.116350539256291e-28	2.6553207153061377e-16	100.0	0.0	9.616197860812435e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10033.91	2.125247493895678e-28	2.666483453954058e-16	100.0	0.0	9.656623524984818e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10034.64	2.1141574727069064e-28	2.652569141343975e-16	100.0	0.0	9.60623308348957e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10035.38	2.087650680520685e-28	2.6193118746091725e-16	100.0	0.0	9.485792469522227e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10036.12	2.053120792913138e-28	2.575988273834732e-16	100.0	0.0	9.328896801632319e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10036.86	2.0177940714923668e-28	2.5316649098870054e-16	100.0	0.0	9.168380508771252e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10037.59	1.9863482321799504e-28	2.4922107707982186e-16	100.0	0.0	9.0254980291827e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10038.33	1.9624863488228636e-28	2.4622719908045425e-16	100.0	0.0	8.917075257322793e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10039.07	1.9489638506958123e-28	2.445305723291947e-16	100.0	0.0	8.85563221414532e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10039.8	1.944267692263695e-28	2.439413596002135e-16	100.0	0.0	8.83429397748211e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10040.54	1.942816859093862e-28	2.4375932797081888e-16	100.0	0.0	8.827701733633393e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10041.28	1.9371519166868886e-28	2.430485648602078e-16	100.0	0.0	8.801961571006693e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10042.01	1.9231744911116783e-28	2.41294859744346e-16	100.0	0.0	8.738451444766813e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10042.75	1.9006553189980223e-28	2.3846944764480095e-16	100.0	0.0	8.63612963621486e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10043.49	1.87433231643385e-28	2.351667804967459e-16	100.0	0.0	8.516524118956501e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10044.23	1.8475454425365521e-28	2.3180591282201826e-16	100.0	0.0	8.394810879731223e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10044.96	1.8217198210497882e-28	2.2856565056643006e-16	100.0	0.0	8.277465344816936e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10045.7	1.8002380574483066e-28	2.258703989606933e-16	100.0	0.0	8.17985727594587e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10046.44	1.7880232568766514e-28	2.2433784504820927e-16	100.0	0.0	8.124356102133389e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10047.17	1.7881527359233256e-28	2.243540903907673e-16	100.0	0.0	8.124944424393124e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10047.91	1.796200252227232e-28	2.253637878086647e-16	100.0	0.0	8.161510441048226e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10048.65	1.8052726166577086e-28	2.2650206980695386e-16	100.0	0.0	8.202733125953496e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10049.39	1.8111585272174853e-28	2.2724055712027517e-16	100.0	0.0	8.229477315767035e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10050.12	1.8147505882327971e-28	2.2769124210122133e-16	100.0	0.0	8.245798794090512e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10050.86	1.8212251812225674e-28	2.2850358961029483e-16	100.0	0.0	8.27521781806739e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10051.6	1.8337061573538437e-28	2.300695397614577e-16	100.0	0.0	8.331928430864364e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10052.33	1.8485037446160888e-28	2.3192614807209214e-16	100.0	0.0	8.399165178433786e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10053.07	1.863425474235435e-28	2.337983321470597e-16	100.0	0.0	8.4669659996038e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10053.81	1.8781721739395053e-28	2.3564855575039423e-16	100.0	0.0	8.533971526107059e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10054.55	1.8928845916447396e-28	2.3749447809550224e-16	100.0	0.0	8.60082128329056e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10055.28	1.9071523254096195e-28	2.3928460729780684e-16	100.0	0.0	8.66565050149592e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
