skewer,alpha,step,t,dt,F_lya,F_inc,locIF,vIF_fd,vIF_fm,T_center,width_IF,nH_avg,nH_center,C_em
0000,-1.0,15402.0,20.42479,0.0008943722,40278.39,9147.452,212.6928062216466,6372.985,1290.086,26265.45,6.178831e+23,3.853272e-05,6.537094e-05,0.2857283
0000,-1.0,15641.0,20.81808,0.001430819,40207.61,9137.523,215.0486066104986,5868.251,1183.313,25795.59,6.114704e+23,3.89953e-05,7.121765e-05,0.2844679
0000,-1.0,15859.0,21.21159,0.003409993,40092.23,9127.494,217.25210628645436,5489.108,1110.2,25454.65,6.025961e+23,3.951239e-05,7.584295e-05,0.284109
0000,-1.0,16069.0,21.60589,0.003769159,39935.66,9120.103,219.34219053791458,5212.233,1064.107,25227.1,5.935969e+23,4.007299e-05,7.907631e-05,0.2836104
0000,-1.0,16276.0,21.99737,0.003375114,39746.93,9113.197,221.35774465327268,5019.038,1039.958,25099.93,5.84518e+23,4.071481e-05,8.08578e-05,0.2826959
0000,-1.0,16468.0,22.38848,0.0007351277,39537.21,9107.391,223.337653920933,4930.829,1034.247,25060.23,5.731696e+23,4.15271e-05,8.125406e-05,0.2819437
0000,-1.0,16664.0,22.78279,0.002460764,39320.45,9095.236,225.36292935839265,5048.113,1044.645,25102.01,5.597625e+23,4.250484e-05,8.033516e-05,0.2815759
0000,-1.0,16848.0,23.17383,0.002827059,39124.39,9083.949,227.40764744005173,5090.122,1071.538,25222.0,5.484102e+23,4.341281e-05,7.821469e-05,0.2810908
0000,-1.0,17032.0,23.56863,0.003051607,38967.38,9072.417,229.54957874270804,5333.183,1116.288,25423.39,5.391093e+23,4.421737e-05,7.497267e-05,0.2807471
0000,-1.0,17214.0,23.96007,0.002946268,38867.53,9061.735,231.77900194426365,5558.534,1179.428,25702.34,5.29286e+23,4.502355e-05,7.086052e-05,0.2810942
0000,-1.0,17396.0,24.35237,0.002826591,38827.05,9051.569,234.17044718081706,5952.557,1263.695,26063.41,5.19048e+23,4.582149e-05,6.604246e-05,0.2834553
0000,-1.0,17578.0,24.74485,0.002729528,38837.52,9041.841,236.7498379779645,6429.816,1371.017,26504.08,5.084457e+23,4.675695e-05,6.078544e-05,0.2857284
0000,-1.0,17761.0,25.13878,0.002847593,38880.96,9032.649,239.58522359040944,7061.849,1504.239,27024.35,4.95404e+23,4.806511e-05,5.532099e-05,0.2864108
0000,-1.0,17943.0,25.53023,0.002850025,38935.36,9024.436,242.6895657809455,7733.876,1663.203,27610.54,4.822859e+23,4.939644e-05,4.996145e-05,0.2888649
0000,-1.0,17944.0,25.53308,0.002962304,38935.77,9024.248,242.71548930654535,60.78878,1664.482,27615.16,4.82342e+23,4.939644e-05,4.99218e-05,0.2888843
0000,-1.0,18123.0,25.92354,0.002283825,38982.52,9017.544,246.1503564484774,8558.537,1849.301,28256.55,4.69361e+23,5.071404e-05,4.48714e-05,0.291881
0000,-1.0,18287.0,26.31746,0.004293216,39010.63,9008.522,250.02916396629917,9662.027,2057.816,28938.4,4.592141e+23,5.187166e-05,4.025613e-05,0.2932613
0000,-1.0,18466.0,26.7098,0.003224355,39017.39,9003.546,254.26766040181428,10559.27,2263.201,29570.83,4.520552e+23,5.273704e-05,3.655744e-05,0.2946639
0000,-1.0,18626.0,27.10355,0.004168368,39005.89,8996.624,258.87232663642317,11475.87,2407.792,30000.62,4.464168e+23,5.340026e-05,3.431902e-05,0.2965421
